Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm
"HYPERHEP B*","HEPATITIS B IMMUNE GLOBULIN*",90371,"HEP B IG IM","2024 (Q1-Q4)",52,95,54228.7,1042.859615,570.8284211
"HYPERHEP B*","HEPATITIS B IMMUNE GLOBULIN*",90371,"HEP B IG IM","2025 (Q1-Q3)",35,64,46093.44,1316.955429,720.21
HYPERRAB,"RABIES IMMUNE GLOBULIN",90375,"RABIES IG IM/SC","2024 (Q1-Q4)",3618,3634,10532046.53,2911.013414,2898.196624
HYPERRAB,"RABIES IMMUNE GLOBULIN",90375,"RABIES IG IM/SC","2025 (Q1-Q3)",3352,3364,9524014.33,2841.293058,2831.157649
"IMOGAM RABIES-HT","RABIES IMMUNE GLOBULIN",90376,"RABIES IG HEAT TREATED","2024 (Q1-Q4)",150,151,474265.81,3161.772067,3140.833179
"IMOGAM RABIES-HT","RABIES IMMUNE GLOBULIN",90376,"RABIES IG HEAT TREATED","2025 (Q1-Q3)",103,104,254370.17,2469.613301,2445.867019
KEDRAB,"RABIES IMMUNE GLOBULIN",90377,"RABIES IG HT&SOL HUMAN IM/SC","2024 (Q1-Q4)",1024,1027,2707122.13,2643.673955,2635.951441
KEDRAB,"RABIES IMMUNE GLOBULIN",90377,"RABIES IG HT&SOL HUMAN IM/SC","2025 (Q1-Q3)",980,981,2336169.62,2383.846551,2381.416534
HAVRIX*,"HEPATITIS A VIRUS VACCINE*",90632,"HEPA VACCINE ADULT IM","2024 (Q1-Q4)",84,89,5938.06,70.69119048,66.71977528
HAVRIX*,"HEPATITIS A VIRUS VACCINE*",90632,"HEPA VACCINE ADULT IM","2025 (Q1-Q3)",55,56,3936.87,71.57945455,70.30125
"FLUAD  *","FLU VACC TS (65UP)*",90653,"IIV ADJUVANT VACCINE IM","2024 (Q1-Q4)",3769127,3773078,302994550.4,80.38852243,80.30434313
"FLUAD  *","FLU VACC TS (65UP)*",90653,"IIV ADJUVANT VACCINE IM","2025 (Q1-Q3)",1236905,1247977,114216694.7,92.34071713,91.52147413
"AFLURIA   (3YR UP)*","FLU VACC TS  36MOS UP*",90656,"IIV3 VACC NO PRSV 0.5 ML IM","2024 (Q1-Q4)",572778,573860,12778218.68,22.30919952,22.26713603
"AFLURIA   (3YR UP)*","FLU VACC TS  36MOS UP*",90656,"IIV3 VACC NO PRSV 0.5 ML IM","2025 (Q1-Q3)",199838,202193,4819541.5,24.11724247,23.83634201
"AFLURIA  (90657)*","FLU VACC TS   (6 MOS UP)*",90657,"IIV3 VACCINE SPLT 0.25 ML IM","2024 (Q1-Q4)",809,813,56066.69,69.30369592,68.96271833
"AFLURIA  (90657)*","FLU VACC TS   (6 MOS UP)*",90657,"IIV3 VACCINE SPLT 0.25 ML IM","2025 (Q1-Q3)",115,115,7256.8,63.1026087,63.1026087
"AFLURIA  (90658)*","FLU VACC TS   (6 MOS UP)*",90658,"IIV3 VACCINE SPLT 0.5 ML IM","2024 (Q1-Q4)",110467,110745,2684005.98,24.29690297,24.23591115
"AFLURIA  (90658)*","FLU VACC TS   (6 MOS UP)*",90658,"IIV3 VACCINE SPLT 0.5 ML IM","2025 (Q1-Q3)",21300,21472,613958.88,28.82436056,28.59346498
"FLUMIST  *","FLU VACC TV LIVE  (2-49YRS)*",90660,"LAIV3 VACCINE INTRANASAL","2024 (Q1-Q4)",158,158,5916.56,37.44658228,37.44658228
"FLUMIST  *","FLU VACC TV LIVE  (2-49YRS)*",90660,"LAIV3 VACCINE INTRANASAL","2025 (Q1-Q3)",55,55,1504.36,27.352,27.352
"FLUCELVAX  *","FLU VAC TS   (6MS UP) CELL*",90661,"CCIIV3 VACCINE NO PRSC 0.5ML","2024 (Q1-Q4)",368891,369496,13332376.52,36.14177771,36.08260041
"FLUCELVAX  *","FLU VAC TS   (6MS UP) CELL*",90661,"CCIIV3 VACCINE NO PRSC 0.5ML","2025 (Q1-Q3)",140904,142357,6339819.64,44.993894,44.5346533
"FLUZONE HIGH-DOSE  *","FLU VACC TS (65YR UP)*",90662,"IIV NO PRSV INCREASED AG IM","2024 (Q1-Q4)",6958782,7040950,560619039.4,80.56281104,79.62264174
"FLUZONE HIGH-DOSE  *","FLU VACC TS (65YR UP)*",90662,"IIV NO PRSV INCREASED AG IM","2025 (Q1-Q3)",2808715,2841681,262592619.6,93.49208432,92.40749388
"PREVNAR 13","PNEUMOC 13-VAL CONJ-DIP CRM",90670,"PCV13 VACCINE IM","2024 (Q1-Q4)",15771,16019,3637812.27,230.6646548,227.0935932
"PREVNAR 13","PNEUMOC 13-VAL CONJ-DIP CRM",90670,"PCV13 VACCINE IM","2025 (Q1-Q3)",4220,4267,963263.78,228.2615592,225.7473119
VAXNEUVANCE,"PNEUMOC 15-VAL CONJ-DIP CRM",90671,"PCV15 VACCINE IM","2024 (Q1-Q4)",15788,16012,3615520.94,229.0043666,225.8007082
VAXNEUVANCE,"PNEUMOC 15-VAL CONJ-DIP CRM",90671,"PCV15 VACCINE IM","2025 (Q1-Q3)",4163,4250,999563.31,240.1064881,235.1913671
"FLUMIST QUAD  *","FLU VACC QV LIVE  (2-49YRS)*",90672,"LAIV4 VACCINE INTRANASAL","2024 (Q1-Q4)",26,26,980.87,37.72576923,37.72576923
"FLUBLOK  *","FLU VAC TV  (9 YR UP)RCM*",90673,"RIV3 VACCINE NO PRESERV IM","2024 (Q1-Q4)",292230,292415,21885766.49,74.89226462,74.84488309
"FLUBLOK  *","FLU VAC TV  (9 YR UP)RCM*",90673,"RIV3 VACCINE NO PRESERV IM","2025 (Q1-Q3)",138848,139861,12039238.09,86.7080411,86.08002295
"FLUCELVAX QUAD  (90674)*","FLU VAC QS  (4YR UP)CEL*",90674,"CCIIV4 VAC NO PRSV 0.5 ML IM","2024 (Q1-Q4)",29295,29385,944314.38,32.23466052,32.13593262
"FLUCELVAX QUAD  (90674)*","FLU VAC QS  (4YR UP)CEL*",90674,"CCIIV4 VAC NO PRSV 0.5 ML IM","2025 (Q1-Q3)",1683,1692,38061.55,22.61530006,22.49500591
"IMOVAX RABIES VACCINE*","RABIES VACC, HUMAN DIPLOID*",90675,"RABIES VACCINE IM","2024 (Q1-Q4)",6122,17719,6175778.61,1008.784484,348.5399069
"IMOVAX RABIES VACCINE*","RABIES VACC, HUMAN DIPLOID*",90675,"RABIES VACCINE IM","2025 (Q1-Q3)",5636,16413,5385734.26,955.595149,328.1383208
"PREVNAR 20","PNEUMOC 20-VAL CONJ-DIP CRM",90677,"PCV20 VACCINE IM","2024 (Q1-Q4)",1841401,1857877,524783944.5,284.9916691,282.4643098
"PREVNAR 20","PNEUMOC 20-VAL CONJ-DIP CRM",90677,"PCV20 VACCINE IM","2025 (Q1-Q3)",1016047,1023195,298617100,293.9008727,291.8476928
